WHONET_ORG_CODE	ORGANISM	TAXONOMIC_STATUS	COMMON	ORGANISM_TYPE	ANAEROBE	MORPHOLOGY	SUBKINGDOM_CODE	FAMILY_CODE	GENUS_GROUP	GENUS_CODE	SPECIES_GROUP	SEROVAR_GROUP	MSF_GRP_CLIN	SCT_CODE	SCT_TEXT	DWC_TAXON_ID	DWC_TAXONOMIC_STATUS	GBIF_TAXON_ID	GBIF_DATASET_ID	GBIF_TAXONOMIC_STATUS	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
cry	Cryptococcus sp.	C		f						CRY				17579001	Cryptococcus	3WJL	ACCEPTED	2518146	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
cne	Cryptococcus neoformans	C		f						CRY				67168003	Cryptococcus neoformans	ZWQQ	ACCEPTED	5237368	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
cug	Cryptococcus uniguttulatus	C		f						CRY				112402002	Cryptococcus uniguttulatus	ZWS8	ACCEPTED	5237336	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
cun	Cunninghamella sp.	C		f						CUN				24861001	Cunninghamella	3XE4	ACCEPTED	2551965	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Zygomycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Cunninghamella
cuv	Cupriavidus sp.	C		-			-		NFR	CUV			OTH	416121002	Cupriavidus species	3XFD	ACCEPTED	3220005	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
c4c	Cupriavidus pauculus	C		-			-		NFR	CUV			OTH	429465001	Cupriavidus pauculus	32FYM	ACCEPTED	3219976	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
cur	Curvularia sp.	C		f						CUR				5214001	Curvularia	3XK7	ACCEPTED	2569225	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia
cyb	Cyberlindnera sp.	C		f						CYB				4601000000000	Genus Cyberlindnera	3XSN	ACCEPTED	3283818	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
cfb	Cyberlindnera fabianii	C		f						CYB				10151000000000	Cyberlindnera fabianii	32RMB	ACCEPTED	3283830	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
cut	Cyberlindnera jadinii	C		f						CYB				4281000000000	Cyberlindnera jadinii	32RMD	ACCEPTED	3283823	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
cyl	Cylindrocarpon sp.	C		f						CYL				11876007	Cylindrocarpon	3Y95	ACCEPTED	2563163	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
clh	Cylindrocarpon lichenicola	C		f						CYL				18859003	Cylindrocarpon lichenicola	332TA	ACCEPTED	2563166	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
dby	Debaryomyces sp.	C		f						DBY				243427006	Genus Debaryomyces	42AA	ACCEPTED	6755301	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces
tca	Debaryomyces hansenii	C		f						DBY				243428001	Debaryomyces hansenii	34CGE	ACCEPTED	2599491	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces
dei	Deinococcus sp.	C		-			-			DEI			OTH	116425003	Deinococcus species	42JC	ACCEPTED	3215676	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Deinococcus-thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
def	Delftia sp.	C		-			-			DEF			OTH			42MF	ACCEPTED	3220129	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
cac	Delftia acidovorans	C		-			-		NFR	DEF			OTH	413887006	Comamonas	34FTF	ACCEPTED	3220130	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
den	Dendrostilbella sp.	C		f						DEN				23496000	Fungus (organism)	435F	ACCEPTED	2561550	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Leotiomycetes	Helotiales	Tympanidaceae	Dendrostilbella
der	Dermabacter sp.	C		+			+			DER	COF		OTH	413978001	Dermabacter species	43EA	ACCEPTED	3224900	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Dermabacteraceae	Dermabacter
dho	Dermabacter hominis	C		+			+			DER	COF		OTH	413977006	Dermabacter hominis	34WK7	ACCEPTED	3224901	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Dermabacteraceae	Dermabacter
drm	Dermacentor sp.	C		i						DRM				372400006	Dermacentor sp.			2184370	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Arthropoda	Arachnida	Ixodida	Ixodidae	Dermacentor
dcc	Dermacoccus sp.	C		+			+			DCC			OTH	115142006	Dermacoccus species	43ED	ACCEPTED	3225666	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Dermacoccaceae	Dermacoccus
dni	Dermacoccus nishinomiyaensis	C		+			+			DCC			OTH	113776005	Dermacoccus nishinomiyaensis	34WP2	ACCEPTED	3225668	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Dermacoccaceae	Dermacoccus
det	Dermatophilus sp.	C		+			+			DET			OTH	131242002	Dermatophilus species	43FF	ACCEPTED	3224263	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Dermatophilaceae	Dermatophilus
dco	Dermatophilus congolensis	C		+			+			DET			OTH	58141003	Dermatophilus congolensis	34X5M	ACCEPTED	5427786	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Actinomycetales	Dermatophilaceae	Dermatophilus
deb	Desulfobacter sp.	C		a	X		-			DEB			OTH	433558005	Genus Desulfobacter	43RR	ACCEPTED	3220627	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter
del	Desulfobulbus sp.	C		a	X		-			DEL			OTH	131244001	Desulfobulbus species	43RW	ACCEPTED	3220671	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus
dec	Desulfococcus sp.	C		a	X		-			DEC			OTH	433812004	Genus Desulfococcus	43RZ	ACCEPTED	3220639	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus
des	Desulfosarcina sp.	C		a	X		-			DES			OTH	433540004	Genus Desulfosarcina	43SQ	ACCEPTED	3220646	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfosarcina
dev	Desulfovibrio sp.	C		a	X		-			DEV			OTH	243393004	Desulfovibrio	43SZ	ACCEPTED	3220375	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
dae	Desulfovibrio desulfuricans ss. aestuarii	C		a	X		-			DEV			OTH	243395006	Desulfovibrio desulfuricans subspecies aestuarii	5GV5V	ACCEPTED	3220458	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
dde	Desulfovibrio desulfuricans ss. desulfuricans	C		a	X		-			DEV			OTH	243396007	Desulfovibrio desulfuricans subspecies desulfuricans	5GV5W	ACCEPTED	7073700	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
dia	Dialister sp.	C		a	X		+			DIA			OTH	131401002	Dialister species	4459	ACCEPTED	3226359	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
dic	Dichelobacter sp.	C		a	X		-			DIC			OTH	131400001	Dichelobacter species	44L5	ACCEPTED	3222854	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Dichelobacter
dno	Dichelobacter nodosus	C		a	X		-			DIC			OTH	114168007	Dichelobacter nodosus	35LFX	ACCEPTED	3222855	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Dichelobacter
die	Dientamoeba sp.	C		w						DIE				29334008	Genus Dientamoeba			3210228	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Sarcomastigophora	Zoomastigophora	Trichomonadida	Monocercomonadidae	Dientamoeba
dfr	Dientamoeba fragilis	C		w						DIE				41542000	Dientameba fragilis			3210229	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Sarcomastigophora	Zoomastigophora	Trichomonadida	Monocercomonadidae	Dientamoeba
dip	Dipetalonema sp.	C		w						DIP				68450006	Dipetalonema			2284460	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Spirurida	Setariidae	Dipetalonema
dpb	Diphyllobothrium sp.	C		w						DPB				418338000	Diphyllobothrium sp.			2505905	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	Diphyllobothrium
dla	Diphyllobothrium latum	C		w						DPB				40406002	Diphyllobothrium latum			10442992	4cec8fef-f129-4966-89b7-4f8439aba058	accepted	Animalia	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	Diphyllobothrium
dpd	Dipylidium sp.	C		w						DPD				21041005	Dipylidium			2506044	80b4b440-eaca-4860-aadf-d0dfdd3e856e	accepted	Animalia	Platyhelminthes	Cestoda	Cyclophyllidea	Dilepididae	Dipylidium
dir	Dirofilaria sp.	C		w						DIR				372403008	Dirofilaria sp.			8975087	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Spirurida	Onchocercidae	Dirofilaria
dim	Dirofilaria immitis	C		w						DIR				23439005	Coccidioides immitis			5188737	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Spirurida	Onchocercidae	Dirofilaria
diu	Diutina sp.	C		f						DIU						476L	ACCEPTED	9733968	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Diutina
cct	Diutina catenulata	C		f						DIU				283868009	Candida catenulata	36ZQQ	ACCEPTED	9785711	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Diutina
cgo	Diutina pseudorugosa	C		f						DIU						36ZQT	ACCEPTED	9814035	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Diutina
cru	Diutina rugosa	C		f						DIU				23773004	Candida rugosa	36ZQU	ACCEPTED	9805785	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales		Diutina
dol	Dolosigranulum sp.	C		+			+			DOL			OTH	363766007	Dolosigranulum species	47NH	ACCEPTED	3227200	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum
dpi	Dolosigranulum pigrum	C		+			+			DOL			OTH	363765006	Dolosigranulum pigrum	378NQ	ACCEPTED	3227201	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum
dra	Dracunculus sp.	C		w						DRA				60566009	Genus Dracunculus			6007988	80b4b440-eaca-4860-aadf-d0dfdd3e856e	accepted	Animalia	Nematoda	Secernentea	Rhabditida	Dracunculidae	Dracunculus
dre	Drechslera sp.	C		f						DRE				73185003	Drechslera	4876	ACCEPTED	2587966	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Drechslera
ech	Echinococcus sp.	C		w						ECH				47622006	Genus Echinococcus			3268465	80b4b440-eaca-4860-aadf-d0dfdd3e856e	accepted	Animalia	Platyhelminthes	Cestoda	Cyclophyllidea	Taeniidae	Echinococcus
emu	Echinococcus multilocularis	C		w						ECH				86648009	Echinococcus multilocularis			7725417	88f4e35a-bdf8-4aa2-9a1b-56401d4eed15	accepted	Animalia	Platyhelminthes	Cestoda	Cyclophyllidea	Taeniidae	Echinococcus
ecs	Echinostoma sp.	C		w						ECS				65894008	Echinostoma			2505714	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Platyhelminthes	Trematoda	Plagiorchiida	Echinostomatidae	Echinostoma
edw	Edwardsiella sp.	C		-			-	EBC		EDW			OTH	131257009	Edwardsiella species	4A65	ACCEPTED	3221906	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella
eho	Edwardsiella hoshinae	C		-			-	EBC		EDW			OTH	4280005	Edwardsiella hoshinae	38TLR	ACCEPTED	5427637	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella
eic	Edwardsiella ictaluri	C		-			-	EBC		EDW			OTH	68227003	Edwardsiella ictaluri	38TLS	ACCEPTED	5427638	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella
eta	Edwardsiella tarda	C		-			-	EBC		EDW			OTH	74672006	Edwardsiella tarda	38TM4	ACCEPTED	5427639	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella
egt	Eggerthella sp.	C		a	X		+			EGT			OTH			4A7Y	ACCEPTED	3223458	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Actinobacteria		Coriobacteriales	Coriobacteriaceae	Eggerthella
ele	Eggerthella lenta	C		a	X		+			EGT			OTH			38UEZ	ACCEPTED	3223459	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Actinobacteria		Coriobacteriales	Coriobacteriaceae	Eggerthella
ehr	Ehrlichia sp.	C		-			-			EHR			OTH	131415000	Ehrlichia species	4A9V	ACCEPTED	3221416	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia
ehc	Ehrlichia canis	C		-			-			EHR			OTH	87643008	Ehrlichia canis	38V59	ACCEPTED	3221418	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia
ehf	Ehrlichia chaffeensis	C		-			-			EHR			OTH	59250001	Ehrlichia chaffeensis	38V5A	ACCEPTED	8985556	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia
eru	Ehrlichia ruminantium	C		-			-			EHR			OTH			38V5G	ACCEPTED	3221421	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia
eik	Eikenella sp.	C		-			-			EIK	HAK		OTH	131247008	Eikenella species	4AB6	ACCEPTED	3220202	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
ecr	Eikenella corrodens	C		-			-			EIK	HAK		OTH	52591004	Eikenella corrodens	38VFJ	ACCEPTED	3220203	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
elz	Elizabethkingia sp.	C		-			-		NFR	ELZ			OTH	426244005	Elizabethkingia	4AUA	ACCEPTED	3228646	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia
emp	Empedobacter sp.	C		-			-		NFR	EMP			OTH	131249006	Empedobacter species	4BB5	ACCEPTED	3228714	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter
ebr	Empedobacter brevis	C		-			-		NFR	EMP			OTH	113629007	Empedobacter brevis	39HK5	ACCEPTED	3228715	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter
enc	Encephalitozoon sp.	C		w						ENC				372406000	Encephalitozoon species			7258478	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Microsporidia	Microsporea	Glugeida	Encephalitozoonidae	Encephalitozoon
end	Endolimax sp.	C		w						END				75866001	Endolimax			3210490	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Endolimax
ena	Endolimax nana	C		w						END				53272006	Endolimax nana			3210491	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Endolimax
enm	Entamoeba sp.	C		w						ENW				372407009	Entamoeba species			3210504	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Entamoeba
eci	Entamoeba coli	C		w						ENW				79235009	Entamoeba coli			3210510	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Entamoeba
edp	Entamoeba dispar	C		w						ENW				415987008	Entamoeba dispar			8658372	de8934f4-a136-481c-a87a-b0b202b80a31	accepted	Animalia					Entamoeba
egi	Entamoeba gingivalis	C		w						ENW				44457009	Entamoeba gingivalis			8881176	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Entamoeba
eha	Entamoeba hartmanni	C		w						ENW				70632005	Entamoeba hartmanni			3210514	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Entamoeba
ehi	Entamoeba histolytica	C		w						ENW				4716008	Entamoeba histolytica			3210505	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Entamoeba
epo	Entamoeba polecki	C		w						ENW				66223005	Entamoeba polecki			3210511	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Entamoebidae	Entamoeba
en-	Enterobacter sp.	C		-			-	EBC		EN-			ECSC	58683007	Enterobacter	4C3J	ACCEPTED	3221976	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
eam	Enterobacter amnigenus	C		-			-	EBC		EN-			ECSC	84221003	Enterobacter amnigenus	39XX9	ACCEPTED	3221991	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
eas	Enterobacter asburiae	C		-			-	EBC		EN-	ECX		ECSC	33115003	Enterobacter asburiae	39XXB	ACCEPTED	3221988	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
ecl	Enterobacter cloacae	C	X	-			-	EBC		EN-	ECX		ECSC	14385002	Enterobacter cloacae	39XXD	ACCEPTED	3221980	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
egg	Enterobacter gergoviae	C		-			-	EBC		EN-			ECSC	5381002	Enterobacter gergoviae	39XXG	ACCEPTED	3221987	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
ehm	Enterobacter hormaechei	C		-			-	EBC		EN-	ECX		ECSC	114454006	Enterobacter hormaechei	39XXJ	ACCEPTED	3221997	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
enp	Enterobacter nimipressuralis	C		-			-	EBC		EN-	ECX		ECSC	29511003	Enterobacter nimipressuralis	39XXP	ACCEPTED	3221985	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
enb	Enterobius sp.	C		w						ENB				88569009	Enterobius			2284339	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Ascaridida	Oxyuridae	Enterobius
eve	Enterobius vermicularis	C		w						ENB				55008000	Enterobius vermicularis			2284340	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Animalia	Nematoda	Secernentea	Ascaridida	Oxyuridae	Enterobius
ent	Enterococcus sp.	C	X	+			+			ENT			ENTS	2785000	Genus Enterococcus	4C3N	ACCEPTED	3227372	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
ean	Enterococcus asini	C		+			+			ENT			ENTS	425342004	Enterococcus asini	39XZR	ACCEPTED	3227386	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
eav	Enterococcus avium	C	X	+			+			ENT			ENTS	87875008	Enterococcus avium	39XZS	ACCEPTED	9819096	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
eca	Enterococcus casseliflavus	C		+			+			ENT			ENTS	30949009	Enterococcus casseliflavus	39XZX	ACCEPTED	3227400	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
ecc	Enterococcus cecorum	C		+			+			ENT			ENTS	113722005	Enterococcus cecorum	39XZY	ACCEPTED	3227381	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
ecb	Enterococcus columbae	C		+			+			ENT			ENTS	113723000	Enterococcus columbe	39XZZ	ACCEPTED	3227398	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
eds	Enterococcus dispar	C		+			+			ENT			ENTS	113724006	Enterococcus dispar	39Y23	ACCEPTED	3227379	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
edu	Enterococcus durans	C		+			+			ENT			ENTS	46464008	Enterococcus durans	39Y24	ACCEPTED	9669710	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
efa	Enterococcus faecalis	C	X	+			+			ENT			ENTS	78065002	Enterococcus fecalis	39Y25	ACCEPTED	3227408	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
efm	Enterococcus faecium	C	X	+			+			ENT			ENTS	90272000	Enterococcus faecium	39Y26	ACCEPTED	3227413	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
ega	Enterococcus gallinarum	C		+			+			ENT			ENTS	53233007	Enterococcus gallinarum	39Y28	ACCEPTED	3227410	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
egv	Enterococcus gilvus	C		+			+			ENT			ENTS	416934000	Enterococcus gilvus	39Y29	ACCEPTED	3227387	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
enh	Enterococcus hirae	C		+			+			ENT			ENTS	73852008	Enterococcus hirae	39Y2C	ACCEPTED	3227402	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
ema	Enterococcus malodoratus	C		+			+			ENT			ENTS	10262005	Enterococcus malodoratus	39Y2E	ACCEPTED	9778795	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
emn	Enterococcus mundtii	C		+			+			ENT			ENTS	38004008	Enterococcus mundtii	39Y2G	ACCEPTED	3227380	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
epa	Enterococcus pallens	C		+			+			ENT			ENTS	417099004	Enterococcus pallens	39Y2H	ACCEPTED	3227392	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
eps	Enterococcus pseudoavium	C		+			+			ENT			ENTS	103436009	Enterococcus pseudoavium	39Y2L	ACCEPTED	3227412	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
